id,title,year,rtID,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsNumFresh,rtAllCriticsNumRotten,rtAllCriticsScore,rtTopCriticsRating,rtTopCriticsNumReviews,rtTopCriticsNumFresh,rtTopCriticsNumRotten,rtTopCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore,rtPictureURL
1,Toy story,1995,toy_story,9,73,73,0,100,8.5,17,17,0,100,3.7,102338,81,http://content7.flixster.com/movie/10/93/63/10936393_det.jpg
2,Jumanji,1995,1068044-jumanji,5.6,28,13,15,46,5.8,5,2,3,40,3.2,44587,61,http://content8.flixster.com/movie/56/79/73/5679734_det.jpg
3,Grumpy Old Men,1993,grumpy_old_men,5.9,36,24,12,66,7,6,5,1,83,3.2,10489,66,http://content6.flixster.com/movie/25/60/256020_det.jpg
4,Waiting to Exhale,1995,waiting_to_exhale,5.6,25,14,11,56,5.5,11,5,6,45,3.3,5666,79,http://content9.flixster.com/movie/10/94/17/10941715_det.jpg
5,Father of the Bride Part II,1995,father_of_the_bride_part_ii,5.3,19,9,10,47,5.4,5,1,4,20,3,13761,64,http://content8.flixster.com/movie/25/54/255426_det.jpg
6,Heat,1995,1068182-heat,7.7,58,50,8,86,7.2,17,14,3,82,3.9,42785,92,http://content9.flixster.com/movie/26/80/268099_det.jpg
7,Sabrina,1954,1018047-sabrina,7.4,31,28,3,90,7.2,5,5,0,100,3.8,12812,87,http://content7.flixster.com/movie/10/93/36/10933669_det.jpg
8,Tom and Huck,1995,tom_and_huck,4.2,8,2,6,25,0,2,1,1,50,2.7,2649,45,http://content9.flixster.com/movie/26/16/261691_det.jpg
9,Sudden Death,1995,1068470-sudden_death,5.2,32,17,15,53,5.6,9,5,4,55,2.6,3626,40,http://content8.flixster.com/movie/27/91/279122_det.jpg
10,GoldenEye,1995,goldeneye,6.8,41,33,8,80,6.2,11,7,4,63,3.4,28260,78,http://content9.flixster.com/movie/26/66/266699_det.jpg
11,The American President,1995,american_president,7,49,44,5,89,7.2,18,16,2,88,3.2,8320,71,http://content7.flixster.com/movie/25/42/254205_det.jpg
12,Dracula: Dead and Loving It,1995,dracula_dead_and_loving_it,3,35,3,32,8,3.7,10,2,8,20,2.8,10078,52,http://content8.flixster.com/movie/10/89/17/10891774_det.jpg
13,Balto,1995,balto,5.8,12,6,6,50,0,4,1,3,25,3.2,9195,66,http://content7.flixster.com/movie/25/16/251605_det.jpg
14,Nixon,1995,nixon,6.7,56,42,14,75,6.1,18,12,6,66,3.5,3256,72,http://content6.flixster.com/movie/28/30/283016_det.jpg
15,Cutthroat Island,1995,cutthroat_island,4.4,31,14,17,45,4.7,6,3,3,50,2.6,3350,42,http://content6.flixster.com/movie/25/69/256908_det.jpg
16,Casino,1995,1067987-casino,7.2,58,47,11,81,6.3,16,11,5,68,3.9,66463,91,http://content8.flixster.com/movie/10/87/61/10876102_det.jpg
17,Sense and Sensibility,1995,1068832-sense_and_sensibility,7.9,49,48,1,97,8.1,14,13,1,92,3.8,32782,88,http://content6.flixster.com/movie/11/12/50/11125040_det.jpg
18,Four Rooms,1995,four_rooms,3.5,42,6,36,14,2.9,11,0,11,0,3.5,14266,72,http://content7.flixster.com/movie/93/49/77/9349773_det.jpg
19,Ace Ventura: When Nature Calls,1995,ace_ventura_when_nature_calls,4.1,25,9,16,36,0,3,1,2,33,3.2,87306,73,http://content7.flixster.com/movie/10/94/18/10941853_det.jpg
20,Money Train,1995,money_train,4,24,4,20,16,4.5,5,1,4,20,2.7,5263,38,http://content9.flixster.com/movie/11/12/51/11125103_det.jpg
21,Get Shorty,1995,get_shorty,7.7,49,42,7,85,8.4,14,14,0,100,3.2,10155,63,http://content7.flixster.com/movie/98/65/89/9865893_det.jpg
22,Copycat,1995,1065837-copycat,6.6,32,24,8,75,7.4,5,4,1,80,3.1,5628,58,http://content9.flixster.com/movie/27/27/272723_det.jpg
23,Ninja Assassin,2009,1198524-ninja_assassin,4.3,106,27,79,25,4.6,20,6,14,30,3.4,107023,58,http://content6.flixster.com/movie/10/89/12/10891232_det.jpg
24,Powder,1995,powder,5.2,19,9,10,47,4.9,5,0,5,0,3.1,6650,67,http://content7.flixster.com/movie/25/59/255901_det.jpg
25,Leaving Las Vegas,1995,leaving_las_vegas,7.7,45,40,5,88,8.1,11,11,0,100,3.6,12742,82,http://content7.flixster.com/movie/10/90/25/10902561_det.jpg
26,Othello,1995,1069707-othello,6.3,38,26,12,68,6.1,11,7,4,63,3.3,2018,66,http://content6.flixster.com/movie/10/92/98/10929892_det.jpg
27,Now and Then,1995,now_and_then,4.7,16,3,13,18,5.2,5,1,4,20,3.5,17168,78,http://content6.flixster.com/movie/55/36/64/5536644_det.jpg
28,Persuasion,1995,1066528-persuasion,7.7,23,19,4,82,8.5,9,9,0,100,3.9,7968,82,http://content6.flixster.com/movie/11/12/73/11127360_det.jpg
29,La cité des enfants perdus,1995,city_of_lost_children,7,33,27,6,81,7.2,7,5,2,71,4,22420,89,http://content6.flixster.com/movie/26/78/267824_det.jpg
30,Yao a yao yao dao waipo qiao,1995,shanghai_triad,6.8,21,18,3,85,0,4,3,1,75,3.6,1061,70,http://content8.flixster.com/movie/10/90/31/10903162_det.jpg
31,Dangerous Minds,1995,dangerous_minds,4.7,37,11,26,29,5,12,5,7,41,3.1,12136,66,http://content7.flixster.com/movie/26/98/269813_det.jpg
32,Twelve Monkeys,1995,prem-no-public-issue,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content6.flixster.com/movie/10/93/02/10930244_det.jpg
33,Wings of Courage,1995,,0,4,2,2,50,0,2,1,1,50,0,0,0,http://content7.flixster.com/movie/10/97/83/10978341_det.jpg
34,Babe,1995,1065598-babe,8.2,54,53,1,98,8.2,11,11,0,100,3,22954,54,http://content7.flixster.com/movie/25/32/253205_det.jpg
35,Carrington,1995,carrington,6.2,19,9,10,47,7.4,5,4,1,80,3.5,781,68,http://content7.flixster.com/movie/28/00/280009_det.jpg
36,Dead Man Walking,1995,1068779-dead_man_walking,8.2,53,50,3,94,7.9,20,18,2,90,3.6,15450,81,http://content6.flixster.com/movie/10/88/77/10887764_det.jpg
37,Across the Sea of Time,1995,across_the_sea_of_time,0,4,2,2,50,0,1,0,1,0,2.9,237,27,http://content6.flixster.com/movie/10/90/58/10905808_det.jpg
38,It Takes Two,1995,1067137-it_takes_two,3.9,24,2,22,8,4.6,8,2,6,25,2.9,16311,63,http://content7.flixster.com/movie/25/74/257417_det.jpg
39,Clueless,1995,school_of_senses,0,0,0,0,0,0,0,0,0,0,0,0,0,http://content8.flixster.com/movie/10/85/01/10850110_det.jpg
40,"Cry, the Beloved Country",1995,1068781-cry_the_beloved_country,7.2,13,10,3,76,0,4,3,1,75,3.5,520,66,http://content6.flixster.com/movie/10/89/59/10895996_det.jpg
41,Richard III,1995,1068177-richard_iii,8.1,43,41,2,95,7.6,11,10,1,90,3.7,1552,82,http://content7.flixster.com/movie/26/89/268909_det.jpg
42,Dead Presidents,1995,dead_presidents,5.7,31,14,17,45,6.3,12,7,5,58,3.3,4475,75,http://content7.flixster.com/movie/26/95/269521_det.jpg
43,Restoration,1995,1069339-restoration,6.3,31,21,10,67,6.4,10,6,4,60,3.3,1103,56,http://content6.flixster.com/movie/27/04/270404_det.jpg
